cliente,carteira_ativa,carteira_inadimplencia,ativo_problematico,tx_inadimplencia,tx_problematico
PF,51311936709237.42,2378079177109.37,4205445161830.26,0.04634553535924628,0.08195841809013565
PJ,32543672279882.01,822698618963.47,2008508158344.92,0.025279833569122112,0.061717317611588295
